,Date,Time,Operator,Flight_Number,Route,Location_or_Route,Aircraft_Type,Aircraft_Registration,Construction_Number_or_Line_Number,Total_Aboard,Passengers_Aboard,Crew_Aboard,Total_Fatalities,Passenger_Fatalities,Crew_Fatalities,Ground_Fatalities,Accident_Summary,Aboard_or_Fatalities_Discrepancy,Control_Char_and_Column
3849,1993-08-18,16:56:00,American International Airways,808,"Norfolk, VA - Guantanamo, Cuba","Leeward Point Airfield, Guantanamo Bay, Cuba",McDonnell Douglas DC-8-61,N814CK,46127,3,0,3,0,0,0,0,"The cargo plane crashed 1/4 of a mile short of the runway, while on approach. the captain had decided, for no particular reason, to  land from the west, requiring a sharp turn just before the runway to stay within the US-controlled military base. He then became fixated on sighting the strobe light marking the border, not having been informed that it was not working. Primary cause was impaired judgment, decision-making, and flying abilities of the captain and flight crew due to the effects of fatigue.",None,"Accident_Summary: 'The cargo plane crashed 1/4 of a mile short of the runway, while on approach. the captain had decided, for no particular reason, to  land from the west, requiring a sharp turn just before the runway to stay within the US-controlled military base. He then became fixated on sighting the strobe light marking the border, not having\r   been informed that it was not working. Primary cause was impaired judgment, decision-making, and flying abilities of the captain and flight crew due to the effects of fatigue.'"
4050,1996-10-08,10:50:00,Aeroflot,9981,"Moscow - Turin, Italy","San Francesco al Campo, Italy",Antonov An-124,RA-82069,9773053359122,23,0,23,2,0,2,2,"The cargo plane struck trees and a house while making a second attempt to land. Poor communication and lack of training for the crew. Poor planning approach, the decision to leave late in the second round. Structural deficiencies in engine control.",Fatalities,"Accident_Summary: 'The cargo plane struck trees and a house while making a second attempt to land. Poor communication and lack of training for the crew. Poor planning approach, the decision to leave late in the second round. \rStructural deficiencies in engine control.'"
4212,1999-06-25,13:20:00,Blue Water Aviation Services,,Test flight,"Long Haul Lake, Manatoba, Canada",de Havilland Canada DHC-3 Otter,C-FIFP,73,2,0,2,1,0,1,0,"During the takeoff the engine failed and the plane crashed into trees. The most likely accident scenario during the second take-off is that water contamination migrated from the center fuel tank to the engine, resulting in a loss of engine power.",None,"Accident_Summary: 'During the takeoff the engine failed and the plane crashed into trees. The most likely accident scenario during the second take-off is that water contamination migrated from the center fuel tank to the engine,\rresulting in a loss of engine power.'"
4223,1999-08-22,18:45:00,China Airlines (Taiwan),642,Bangkok - Hong Kong,"Hong Kong, China",McDonnell Douglas MD-11,B-150,48468/518,315,300,15,3,3,0,0,"While making a landing in strong winds and rain, the pilot-in-command disconnected the autopilot but left the autothrottle engaged. The aircraft, with a weight close to the maximum landing weight permitted, stabilized slightly low on the glideslope. An attempt was made to flare but the aircraft landed hard on its right landing gear and the No.3 engine touched the runway. The right main landing gear and right wing separated. The MD-11 then inverted and skidded off the runway in flames. Probable Cause: The commander's unability to arrest the high rate of descent existing at 50 ft. RA. Contributory Causes:  The commander's failure to appreciate the combination of a reducing airspeed, increasing rate of descent, and with the thrust decreasing to flight idle. The commander's failure to apply power to counteract the high rate of descent prior to touchdown. Probable variations in wind direction and speed below 50 ft RA may have resulted in a momentary loss of headwind component and, in combination with the early retardation of the thrust levers, and at a weight only just below the maximum landing weight, led to a 20 kt loss in indicated airspeed just prior to touchdown. A possible contributory cause may have been a reduction in peripheral vision as the aircraft entered the area of the landing flare, resulting in the commander not appreciating the high rate of descent prior to touchdown.",None,"Accident_Summary: ""While making a landing in strong winds and rain, the pilot-in-command disconnected the autopilot but left the autothrottle engaged. The aircraft, with a weight close to the maximum landing weight permitted, stabilized slightly low on the glideslope. An attempt was made to flare but the aircraft landed hard on its right landing gear and the No.3 engine touched the runway. The right main landing gear and right wing separated. The MD-11 then inverted and skidded off the runway in flames. Probable Cause: The commander's unability to arrest the high rate of descent existing at 50 ft. RA. Contributory Causes:  The commander's failure to appreciate the combination of a reducing airspeed, increasing rate of descent, and with the thrust decreasing to flight idle.\rThe commander's failure to apply power to counteract the high rate of descent prior to touchdown. Probable variations in wind direction and speed below 50 ft RA may have resulted in a momentary loss of headwind component and, in combination with the early retardation of the thrust levers, and at a weight only just below the maximum landing weight, led to a 20 kt loss in indicated airspeed just prior to touchdown. A possible contributory cause may have been a reduction in peripheral vision as the aircraft entered the area of the landing flare, resulting in the commander not appreciating the high rate of descent prior to touchdown."""
4315,2001-01-27,17:37:00,North Bay Charter,,"Broomfield, CO - Stillwater, OK","Byers, Colorado",Beech King Air 200 Catpass,N81PF,BB-158,10,8,2,10,8,2,0,"The plane was on a charter flight from Jefferson County Airport to Stillwater, Oklahoma. Radio and radar contact was lost 20 - 30 minutes after the plane took off as it reached 23,000 feet. The aircraft crashed at a high rate of speed into the ground on a farm 40 miles east of Denver. There was light snow and 1.5 miles visibility at the time of the accident. Two members and six staffers of the Oklahoma State University basketball team were among those killed. The probable cause of this accident was the pilot’s spatial disorientation resulting from his failure to maintain positive manual control of the airplane with the available flight instrumentation. Contributing to the cause of the accident was the loss of a.c. electrical power during instrument meteorological conditions.",None,"Accident_Summary: 'The plane was on a charter flight from Jefferson County Airport to Stillwater, Oklahoma. Radio and radar contact was lost 20 - 30 minutes after the plane took off as it reached 23,000 feet. The aircraft crashed at a high rate of speed into the ground on a farm 40 miles east of Denver. There was light snow and 1.5 miles visibility at the time of the accident. Two members and six staffers of the Oklahoma State University basketball team were among those killed. The probable cause of this accident was the pilot’s spatial disorientation resulting from his failure to maintain positive manual control of the airplane with the available flight instrumentation.\rContributing to the cause of the accident was the loss of a.c. electrical power during instrument meteorological conditions.'"
4385,2002-04-15,,Air China,129,Beijing - Busan,"Busan, South Korea",Boeing B-767-200ER,B-2552,23308/127,166,155,11,128,120,8,0,"The aircraft crashed onto a mountain, in fog, wind and rain while attempting to land at Kimhae Airport. A strong southerly wind required the aircraft to make a turn and approach the runway from the north. The aircraft crashed near the peak of Mt. Mulbong, approximately 3 mile north of the runway. The plane bounced three times before hitting the ground and exploding. More than 1,000 trees were uprooted by the impact. The plane was off course when the crew turned on final. The flight crew performed the circling approach, not being aware of the weather minima of wide-body aircraft (B767-200) for landing, and in the approach briefing, did not include the missed approach, etc., among the items specified in Air China’s operations and training manuals. The flight crew exercised poor crew resource management and lost situational awareness during the circling approach to runway 18R, which led them to fly outside of the circling approach area, delaying the base turn, contrary to the captain’s intention to make a timely base turn. The flight crew did not execute a missed approach when they lost sight of the runway during the circling approach to runway 18R, which led them to strike high terrain (mountain) near the airport. When the first officer advised the captain to ascend again for landing, about 5 seconds before impact, the captain did not react, nor did the first officer initiate the missed approach himself.",None,"Accident_Summary: 'The aircraft crashed onto a mountain, in fog, wind and rain while attempting to land at Kimhae Airport. A strong southerly wind required the aircraft to make a turn and approach the runway from the north. The aircraft crashed near the peak of Mt. Mulbong, approximately 3 mile north of the runway. The plane bounced three times before hitting the ground and exploding. More than 1,000 trees were uprooted by the impact. The plane was off course when the crew turned on final. The flight crew performed the circling approach, not being aware of the weather minima of wide-body aircraft (B767-200) for landing, and in the approach briefing, did not include the missed approach, etc., among the items specified in Air China’s operations and training manuals. \rThe flight crew exercised poor crew resource management and lost situational awareness during the circling approach to runway 18R, which led them to fly outside of the circling approach area, delaying the base turn, contrary to the captain’s intention to make a timely base turn. The flight crew did not execute a missed approach when they lost sight of the runway during the circling approach to runway 18R, which led them to strike high terrain (mountain) near the airport. When the first officer advised the captain to ascend again for landing, about 5 seconds before impact, the captain did not react, nor did the first officer initiate the missed approach himself.'"
4490,2004-03-04,09:40:00,Azov Avia Airlines,,Ankara - Baku - Kabul,"Bakou, Azerbaijan",Ilyushin II-76,UR-ZVA,0063468036,7,0,7,3,0,3,0,"Shortly after taking off and climbing to about 150 feet, the aircraft pitch down and crashed into a field 4 km from the airport.",None,"Location_or_Route: 'Bakou, Azerbaijan\r\t\rBakou, Azerbaijan'"
4542,2005-02-22,07:15:00,Indonesian National Police,,Jayapura - Sarmi,"Off Sarmi, Indonesia",CASA 212 Aviocar,"P-2032",,18,14,4,15,11,4,0,"On final approach, the aircraft crashed into the sea 100 meters off shore, 400 meters short of runway.",None,"Location_or_Route: 'Off Sarmi, Indonesia\r\t\rSarmi, Indonesia', Aircraft_Registration: 'P-2032\rP-2032'"
4622,2007-03-14,,"Bahia Taxi Aéreo",,Petrolina - Salvador,"Fazenda Nossa Senhora de Lourdes, Brazil",Rockwell 500S Shrike Commander,PP-SEC,"3094",4,2,2,4,2,2,0,"Fifteen minutes before arriving at its destination  the crew informed ATC about a technical problem and that they were losing altitude. Few minutes  later, the twin engine plane crashed into an open field.",None,"Operator: 'Bahia Taxi Aéreo\r\t\rBahia Taxi Aéreo\r\t\rBahia Taxi Aéreo', Construction_Number_or_Line_Number: '3094\r\t\r3094'"
4663,2008-02-21,17:00:00,Santa Barbara Airlines,518,Merida - Caracas,"Merida, Venezuela",ATR-42-300,YV-1449,028,46,43,3,46,43,3,0,"Struck a mountain at 13,500 feet and disintegrated shortly after departing Merida. The pilots took off from Merida without waiting for the navigation system to properly initialize. Consequently, they became disoriented in the mountainous terrain surrounding the airport, crashing into the side of a mountain while trying to determine their location.",None,"Accident_Summary: 'Struck a mountain at 13,500 feet and disintegrated shortly after departing Merida. The pilots took off from\rMerida without waiting for the navigation system to properly initialize. Consequently, they became disoriented in the mountainous terrain surrounding the airport, crashing into the side of a mountain while trying to determine their location.'"
4693,2008-08-24,20:30:00,Itek Air,IRC6895,"Bishkek - Tehran, Iran","Bishkek, Kyrgyzstan",Boeing B-737-219,EX-009,22088/676,90,83,7,68,67,1,0,"The plane crashed shortly after taking off from Manas International Airport.  After 10 minutes, the crew reported a severe loss of cabin pressure and said they were returning when it crashed 6 miles from the airport. The Iran Aseman Airlines flight was being carried out by Itek Air. The forward left cabin door was not closed completely, and that the person who closed it was an engineer who was not listed among those (in the Cabin Attendant Manual) who were supposed to close the door.  A report concludes that the aircraft originally lost cabin pressure due to this. 1) Failure of the crew to maintain proper crew resource management and cooperation in flight 2) Failure to maintain visual contact with the runway or visual approach aids during a visual approach 3) Loss of control with regards to height while doing the orbit necessary due to miscalculation of the landing performance and estimated landing trajectory 4) Failure to respond correctly to the TAWS alert (Terrain Awareness and Alerting System).",None,"Accident_Summary: 'The plane crashed shortly after taking off from Manas International Airport.  After 10 minutes, the crew reported a severe loss of cabin pressure and said they were returning when it crashed 6 miles from the airport. The Iran Aseman Airlines flight was being carried out by Itek Air. The forward left cabin door was not closed completely, and that the person who closed it was an engineer who was not listed among those (in the Cabin Attendant Manual) who were supposed to close the door.  A report concludes that the aircraft originally lost cabin pressure due to this. 1) Failure of the crew to maintain proper crew resource management and cooperation in flight\r2) Failure to maintain visual contact with the runway or visual approach aids during a visual approach\r3) Loss of control with regards to height while doing the orbit necessary due to miscalculation of the landing performance and estimated landing trajectory 4) Failure to respond correctly to the TAWS alert (Terrain Awareness and Alerting System).'"
4721,2009-03-23,06:48:00,FedEx,80,"Guangzhou, China - Tokyo, Japan","Tokyo, Japan",McDonnell Douglas MD-11,N526FE,48600/560,2,0,2,2,0,2,0,"The fatigued pilot flying the cargo plane flared too late on landing. From his position in the cockpit he was then apparently unable to tell that the main gear had bounced and the tail was rising, so he pitched the plane down to bring the nose to the ground, instead of up to recover from the bounce. The plane bounced again, harder, lost control, veered to the left, turned over, and was destroyed by fire.",None,"Accident_Summary: 'The fatigued pilot flying the cargo plane flared too late on landing. From his position in the cockpit he was then apparently unable to tell that the main gear had bounced and the tail was rising, so he pitched the plane down to bring the nose to the ground, instead of up to recover from the bounce. The plane bounced again, harder, lost\r  control, veered to the left, turned over, and was destroyed by fire.'"
4729,2009-06-01,00:15:00,Air France,447,Rio de Janeiro - Paris,"Atlantic Ocean, 570 miles northeast of Natal, Brazil",Airbus A330-203,F-GZCP,660,228,216,12,228,216,12,0,"The Airbus went missing over the Atlantic Ocean on a flight from Rio de Janeiro to Paris, France. The plane departed from Rio de Janeiro-Galeao International Airport at 19:03 LT bound for Charles de Gaulle Airport in Paris. The last radio contact with the flight was at 01:33 UTC.  The aircraft left CINDACTA III radar coverage at 01:48 UTC, flying normally at FL350. The aircraft reportedly went through a thunderstorm with strong turbulence at 02:00 UTC. At 02:14 UTC an automated message was received indicating a failure of the electrical system. The plane carried 12 crew members and 216 passengers. The wreckage was finally discovered on April 3, 2011 using unmanned submarines.  Flight447 passed into clouds associated with a large system of thunderstorms, its speed sensors became iced over, and the autopilot disengaged. In the ensuing confusion, the pilots lost control of the airplane because they reacted incorrectly to the loss of instrumentation and then seemed unable to comprehend the nature of the problems they had caused. Neither weather nor malfunction doomed flight, nor a complex chain of error, but a simple but persistent mistake on the part of one of the pilots. The crew did not realize the plane was in a stall, were insufficiently trained in flying manually, and never informed the passengers that anything was wrong before they plunged into the sea. The captain was on a rest break when the warnings began. The two co-pilots were facing faulty speed readings from unreliable sensors and repeated alarm signals, but fail to explain why the pilots responded the way they did. It's unclear why the co-pilot at the controls maintained a nose-up input - contrary to the normal procedure to come out of an aerodynamic stall. Normally, the nose should be pointed slightly downward to regain lift in such a stall, often caused because the plane is traveling too slowly. A basic maneuver for stall recovery, which pilots are taught at the outset of their flight training, is to push the yoke forward and apply full throttle to lower the nose of the plane and build up speed. The report confirms that external speed sensors obstructed by ice crystals produced irregular speed readings on the plane. Since the accident, Air France has replaced the speed monitors on all its Airbus A330 and A340 aircraft. The BEA said neither of the co-pilots at the controls had received recent training for manual aircraft handling, or had any high-altitude schooling in case of unreliable air speed readings. A stall warning sounded numerous times, and once for a full 54 seconds, but the crew made no reference to it in cockpit exchanges before the jet crashed.",None,"Accident_Summary: ""The Airbus went missing over the Atlantic Ocean on a flight from Rio de Janeiro to Paris, France. The plane departed from Rio de Janeiro-Galeao International Airport at 19:03 LT bound for Charles de Gaulle Airport in Paris. The last radio contact with the flight was at 01:33 UTC.  The aircraft left CINDACTA III radar coverage at 01:48 UTC, flying normally at FL350. The aircraft reportedly went through a thunderstorm with strong turbulence at 02:00 UTC. At 02:14 UTC an automated message was received indicating a failure of the electrical system. The plane carried 12 crew members and 216 passengers. The wreckage was finally discovered on April 3, 2011 using unmanned submarines.  Flight447 passed into clouds associated with a large system of thunderstorms, its speed sensors became iced over, and the autopilot disengaged. In the ensuing confusion, the pilots lost control of the airplane because they reacted incorrectly to the loss of instrumentation and then seemed unable to comprehend the nature of the problems they had caused. Neither weather nor malfunction doomed flight, nor a complex chain of error, but a simple but persistent mistake on the part of one of the pilots. \r  The crew did not realize the plane was in a stall, were insufficiently trained in flying manually, and never informed the passengers that anything was wrong before they plunged into the sea. The captain was on a rest break when the warnings began. The two co-pilots were facing faulty speed readings from unreliable sensors and repeated alarm signals, but fail to explain why the pilots responded the way they did. It's unclear why the co-pilot at the controls maintained a nose-up input - contrary to the normal procedure to come out of an aerodynamic stall. Normally, the nose should be pointed slightly downward to regain lift in such a stall, often caused because the plane is traveling too slowly. A basic maneuver for stall recovery, which pilots are taught at the outset of their flight training, is to push the yoke forward and apply full throttle to lower the nose of the plane and build up speed. The report confirms that external speed sensors obstructed by ice crystals produced irregular speed readings on the plane. Since the accident, Air France has replaced the speed monitors on all its Airbus A330 and A340 aircraft. The BEA said neither of the co-pilots at the controls had received recent training for manual aircraft handling, or had any high-altitude schooling in case of unreliable air speed readings. A stall warning sounded numerous times, and once for a full 54 seconds, but the crew made no reference to it in cockpit exchanges before the jet crashed."""
4760,2010-04-10,10:41:00,Military - Polish Air Force,PLF 101,"Warsaw, Poland - Smolensk Russia","Smolensk, Russia",Tupolev 154M,101,90A837,96,88,8,96,88,8,0,"The military jet crashed and was destroyed while attempting to land in dense fog and poor visibility. The crew requested permission to carry out a trial approach to a decision height of 100 m and told the controller to expect a go-around. A few seconds before impact, the autopilot and autothrottle were disconnected in order to execute a go-around. The airplane impacted upsloping terrain at a distance of about 1,100 meters from the runway and 40 m to the left of extended centerline. The immediate cause of the accident was the failure of the crew to make a timely decision to proceed to an alternate airport although they were not once timely informed of the actual weather conditions at Smolensk, which were significantly lower than the established airport minima. Descent without visual contact with ground references to an altitude much lower than minimum descent altitude for a go-around,  in order to establish visual flight. No reaction to the numerous TAWS warnings which led to controlled flight into terrain, aircraft destruction and death of the crew and passengers. Polish president Lech Kaczynski and his wife were among the dead.",None,"Accident_Summary: 'The military jet crashed and was destroyed while attempting to land in dense fog and poor visibility. The crew requested permission to carry out a trial approach to a decision height of 100 m and told the controller to expect a go-around. A few seconds before impact, the autopilot and autothrottle were disconnected in order to execute a go-around. The airplane impacted upsloping terrain at a distance of about 1,100 meters from the runway and 40 m to the left of extended centerline. The immediate cause of the accident was the failure of the crew to make a timely decision to proceed to an alternate airport although they were not once timely informed of the actual weather conditions at Smolensk, which were significantly lower than the established airport minima. Descent without visual contact with ground references to an altitude much lower than minimum descent altitude for a go-around,  in order to establish visual flight. No reaction to the numerous TAWS warnings which led to controlled flight into terrain, aircraft destruction and death of the crew and passengers.\r Polish president Lech Kaczynski and his wife were among the dead.'"
4805,2011-05-18,20:53:00,SOL Lineas Aereas,5428,Neuquen - Comodoro Rivadavia,"Near Prahuaniyeu, Argentina",Saab 340A,LV-CEJ,25,22,19,3,22,19,3,0,"The domestic scheduled passenger flight crashed 12.5 miles north of Prahuaniyeu while en route, after transmitting a distress call. All 19 passengers and crew of three aboard were killed. Inadequate flight planning. Inadequate operational decision making on the part of the pilot. Loss of situational awareness from the flight crew.",None,"Accident_Summary: 'The domestic scheduled passenger flight crashed 12.5 miles north of Prahuaniyeu while en route, after transmitting a distress call. All 19 passengers and crew of three aboard were killed. Inadequate flight planning.\rInadequate operational decision making on the part of the pilot. Loss of situational awareness from the flight crew.'"
4819,2011-09-07,15:50:00,YAK Service,9633,Yaroslavl - Minsk,"Yaroslavl, Russia",Yakovlev 42D,RA-42434,4520424305017,45,37,8,44,37,7,0,"The plane failed to climb after takeoff and crashed into an antenna outside the airport perimeter and came to rest in the Volga River, 1km from the runway. The plane carried the entire Lokomotiv Yaroslavl ice hockey team. Pilot error. Both pilots had experience on the Yak-40 but were assigned to switch between types , contrary to proper practice. They apparently had never learned the correct position for their feet on takeoff. In the Yak-42, and like virtually all other existing Russian and Western planes, a pilot steers the aircraft by pressing the lower part of pedals and activates the brakes by pressing their upper part.But instead of putting his heels on the cockpit floor as required,  One pilot left his feet resting on the pedals, as correct for the Yak-40. This applied the brakes, causing a downward pitch force that  prevented the plane from rotating to take off. They made the fatal mistake of failing to abort the takeoff, but kept applying more upward pitch with the result that when the plane finally left the ground and the downward pitch force stopped, it went into a stall within seconds.",None,"Accident_Summary: 'The plane failed to climb after takeoff and crashed into an antenna outside the airport perimeter and came to rest in the Volga River, 1km from the runway. The plane carried the entire Lokomotiv Yaroslavl ice hockey team. Pilot error. Both pilots had experience on the Yak-40 but were assigned to switch between types , contrary to proper practice. They apparently had never learned the correct position for their feet on takeoff. In the Yak-42, and like virtually all other existing Russian and Western planes, a pilot steers the aircraft by pressing the lower part of pedals and activates the brakes by pressing their upper part.But instead of putting his heels on the cockpit floor as required,  One pilot left his feet resting on the pedals, as correct for the\rYak-40. This applied the brakes, causing a downward pitch force that  prevented the plane from rotating to take off. They made the fatal mistake of failing to abort the takeoff, but kept applying more upward\r  pitch with the result that when the plane finally left the ground and the downward pitch force stopped, it went into a stall within seconds.'"
4864,2013-04-29,15:25:00,National Air Cargo,102,Bagram - Dubai Al Maktoum,"Bagram Air Base, Afghanistan",Boeing B-747-428BCF,N949CA,25630/960,7,0,7,7,0,7,0,"The civilian cargo plane crashed and burned shortly after taking off from runway 03 at Bagram Air Base. The plane was carrying 5 armored vehicles. The airline's cargo operations manual did not explain how to account for the orientation of the tiedown straps when calculating how many were needed, and the inexperienced and uncertified loadmaster used too few straps. When the plane began climbing, the rearmost vehicle, weighing 28,000 pounds, broke free and smashed into the tail, severing two hydraulic  systems and the elevator jackscrew, leaving the plane uncontrollable.",None,"Accident_Summary: ""The civilian cargo plane crashed and burned shortly after taking off from runway 03 at Bagram Air Base. The plane was carrying 5 armored vehicles. The airline's cargo operations manual did not explain how to account for the orientation of the tiedown straps when calculating how many were needed, and the inexperienced and uncertified loadmaster used too few straps. When the plane began climbing, the rearmost vehicle, weighing 28,000\rpounds, broke free and smashed into the tail, severing two hydraulic  systems and the elevator jackscrew, leaving the plane uncontrollable."""
4927,2016-03-09,09:05:00,True Aviation Ltd.,,Cox's Bazar - Jessore,"Cox's Bazar, Bangladesh",Antonov AN-26,S2-AGZ,13408,4,0,4,3,0,3,0,"The cargo plane, carrying shrimp, crashed less than 5 minutes after taking off from Cox's Bazar Airport. The pilot declaired an emergency and tried to return to the airport but crashed into the shallow waters of the Bay of Bengal just offshore. Failure to initiate a rejected take off during take off roll following the indication of engine failure; Failure to adhere to the company SOP following the detection of the engine failure during take off;",None,"Accident_Summary: ""The cargo plane, carrying shrimp, crashed less than 5 minutes after taking off from Cox's Bazar Airport. The pilot declaired an emergency and tried to return to the airport but crashed into the shallow waters of the Bay of Bengal just offshore. Failure to initiate a rejected take off during take off roll following the indication of engine failure;\rFailure to adhere to the company SOP following the detection of the engine failure during take off;"""
4947,2017-02-21,09:00:00,Australian Corporate Jet Centres PTY. LTD,,Melbournen - King Island,"Melbourne, Victoria, Australia",Beechcraft B200 Super King Air,VH-ZCR,BB1544,5,4,1,5,4,1,0,"The charter flight was just seconds into it's flight when it was observed flying low, before it nose diving into a building at a shopping center and bursting into flames. The pilot made two mayday calls before the aircraft crashed. The aircraft's rudder trim was likely in the full nose-left position at the commencement of the take-off. The aircraft's full nose-left rudder trim setting was not detected by the pilot prior to take-off. Following a longer than expected ground roll, the pilot took-off with full left rudder trim selected. This configuration adversely affected the aircraft's climb performance and controllability, resulting in a collision with terrain.",None,"Accident_Summary: ""The charter flight was just seconds into it's flight when it was observed flying low, before it nose diving into a building at a shopping center and bursting into flames. The pilot made two mayday calls before the aircraft crashed. The aircraft's rudder trim was likely in the full nose-left position at the commencement of the take-off.\r The aircraft's full nose-left rudder trim setting was not detected by the pilot prior to take-off. Following a longer than expected ground roll, the pilot took-off with full left rudder trim selected. This configuration adversely affected the aircraft's climb performance and controllability, resulting in a collision with terrain."""
